Temp(K)              H2O_1                      H2O_2                      H2O_3                      H2O_4                      H2O_5                      H2O_6                      CO2_1                      CO2_2                      CO2_3                      CO2_4                      CO2_5                      CO2_6                      CO2_7                      CO2_8                      CO2_9                      CO210                       O3_1                       O3_2                       O3_3                       O3_4                       O3_5                      N2O_1                      N2O_2                      N2O_3                      N2O_4                      N2O_5                       CO_1                       CO_2                       CO_3                       CO_4                       CO_5                       CO_6                      CH4_1                      CH4_2                      CH4_3                      CH4_4                       O2_1                       O2_2                       O2_3                       NO_1                       NO_2                       NO_3                      SO2_1                      SO2_2                      NO2_1                      NH3_1                      NH3_2                     HNO3_1                       OH_1                       OH_2                       OH_3                       HF_1                      HCl_1                      HCl_2                      HBr_1                      HBr_2                       HI_1                      ClO_1                      ClO_2                      OCS_1                      OCS_2                      OCS_3                      OCS_4                      OCS_5                     H2CO_1                     H2CO_2                     H2CO_3                     HOCl_1                     HOCl_2                       N2_1                      HCN_1                      HCN_2                      HCN_3                    CH3Cl_1                    CH3Cl_2                     H2O2_1                     C2H2_1                     C2H2_2                     C2H2_3                     C2H6_1                     C2H6_2                      PH3_1                                                                                                                                                                                                                                                                                                                                                                                                                                                
  70.0           21.000000                  20.171000                 120.535679                  96.397760                 103.623602                 618.193618                  62.559198                 125.113199                 132.581204                 773.657593                 265.174000                1547.287988                  70.365920                 820.519199                2392.916074                 140.721605                 382.476001                 816.610381                 399.152390                4748.296055                2346.292031                1048.834409                 699.276006                 723.599209                1110.802383                6483.495781                  25.552480                  53.429242                  26.815280                 157.242397                  56.201520                 329.193599                  68.771999                 137.562397                 553.945601                1108.856787                  51.583199                 104.556478                 610.348826                 189.750403                 131.078403                 200.006399                 666.941606                 669.983228                1518.715957                 200.810809                 134.150405               18922.160000                  21.849960                  21.925320                  46.281800                  10.927704                  40.086002                  40.142000                  49.393080                  49.407080                  95.002880                 628.373577                 639.205591                 240.363594                 246.381193                 482.262390                 973.676025                 256.204004                 326.698806                 669.855166                 342.643997                2148.280020                2186.200000                 111.152962                 199.681993                 409.862786                 138.190801                6369.903828                6470.592344                 800.489629                  83.440158                 333.773191                 290.437203                5958.160156                3041.472012                 372.672793
  71.0           21.432472                  20.607104                 123.141827                  98.533242                 105.784818                 631.086035                  63.451270                 126.897311                 134.472117                 784.689928                 268.956161                1569.356471                  71.369587                 832.221873                2427.042636                 142.728821                 390.685842                 834.139643                 407.719894                4850.222625                2396.653151                1063.788315                 709.247288                 733.917721                1126.643963                6575.946341                  25.912981                  54.183481                  27.193860                 159.461901                  56.995395                 333.842575                  70.221119                 140.463421                 565.677136                1132.342275                  52.308207                 106.091755                 619.313674                 192.971507                 133.303908                 203.402943                 681.260104                 684.367260                1551.295316                 205.028138                 136.968150               19328.793600                  22.035634                  22.112747                  46.822840                  11.061113                  40.617322                  40.674120                  50.058173                  50.072373                  96.300341                 637.439353                 648.427446                 243.797290                 249.900824                 489.152853                 987.584589                 259.864884                 333.683815                 684.178877                 349.971756                2194.348023                2233.080803                 112.719796                 202.508074                 415.664914                 140.147409                6506.499663                6609.352673                 819.039968                  84.623504                 338.507382                 294.646196                6087.048152                3107.273129                 380.567561
  72.0           21.867648                  21.045936                 125.764281                 100.682342                 107.959826                 644.060643                  64.343406                 128.681568                 136.363173                 795.723095                 272.738641                1591.426713                  72.373341                 843.925411                2461.171918                 144.736229                 398.949363                 851.783674                 416.343445                4952.815914                2447.343711                1078.744668                 719.220331                 744.237976                1142.488152                6668.411620                  26.273492                  54.937740                  27.572451                 161.681453                  57.789293                 338.491664                  71.679679                 143.383133                 577.484303                1155.978819                  53.033231                 107.627073                 628.278698                 196.208260                 135.540260                 206.816015                 695.673753                 698.846876                1584.086995                 209.272602                 139.804022               19738.230400                  22.222631                  22.301501                  47.366800                  11.194561                  41.148682                  41.206280                  50.723299                  50.737699                  97.597851                 646.518842                 657.663174                 247.232137                 253.421640                 496.046083                1001.497872                 263.527125                 340.714119                 698.595533                 357.347035                2240.716026                2280.267205                 114.286673                 205.334314                 421.467378                 142.104113                6643.985579                6749.016842                 837.752739                  85.807037                 343.242277                 298.856693                6216.980148                3173.607687                 388.513145
  73.0           22.305528                  21.487496                 128.403041                 102.845063                 110.148627                 657.117444                  65.235606                 130.465968                 138.254373                 806.757094                 276.521441                1613.498715                  73.377181                 855.629813                2495.303920                 146.743830                 407.266564                 869.542473                 425.023045                5056.075924                2498.363711                1093.703469                 729.195133                 754.559976                1158.334949                6760.891620                  26.634012                  55.692020                  27.951051                 163.901052                  58.583213                 343.140864                  73.147679                 146.321532                 589.367102                1179.766419                  53.758271                 109.162433                 637.243898                 199.460661                 137.787460                 210.245616                 710.182554                 713.422076                1617.090994                 213.544202                 142.658022               20150.470400                  22.410951                  22.491580                  47.913680                  11.328049                  41.680082                  41.738479                  51.388460                  51.403059                  98.895411                 655.612043                 666.912773                 250.668137                 256.943639                 502.942082                1015.415875                 267.190725                 347.789720                 713.105132                 364.769834                2287.384029                2327.759207                 115.853593                 208.160714                 427.270178                 144.060914                6782.361575                6889.584850                 856.627942                  86.990757                 347.977877                 303.068694                6347.956145                3240.475685                 396.509546
  74.0           22.746112                  21.931784                 131.058107                 105.021402                 112.351219                 670.256436                  66.127870                 132.250512                 140.145717                 817.791925                 280.304561                1635.572477                  74.381107                 867.335079                2529.438642                 148.751622                 415.637445                 887.416040                 433.758692                5160.002654                2549.713151                1108.664718                 739.171695                 764.883719                1174.184354                6853.386341                  26.994541                  56.446321                  28.329660                 166.120700                  59.377155                 347.790176                  74.625119                 149.278620                 601.325533                1203.705075                  54.483327                 110.697834                 646.209275                 202.728709                 140.045509                 213.691744                 724.786508                 728.092860                1650.307313                 217.842939                 145.530150               20565.513600                  22.600594                  22.682987                  48.463480                  11.461576                  42.211522                  42.270719                  52.053653                  52.068453                 100.193021                 664.718955                 676.176245                 254.105289                 260.466823                 509.840848                1029.338598                 270.855686                 354.910617                 727.707676                 372.240153                2334.352032                2375.556809                 117.420556                 210.987274                 433.073315                 146.017810                6921.627652                7031.056697                 875.665576                  88.174664                 352.714180                 307.282198                6479.976141                3307.877123                 404.556762
  75.0           23.189400                  22.378800                 133.729478                 107.211360                 114.567603                 683.477621                  67.020198                 134.035200                 142.037206                 828.827588                 284.088002                1657.647998                  75.385120                 879.041208                2563.576084                 150.759606                 424.062006                 905.404375                 442.550388                5264.596104                2601.392031                1123.628416                 749.150017                 775.209207                1190.036367                6945.895781                  27.355080                  57.200643                  28.708279                 168.340396                  60.171120                 352.439601                  76.111999                 152.254396                 613.359596                1227.794788                  55.208399                 112.233277                 655.174827                 206.012405                 142.314405                 217.154400                 739.485613                 742.859229                1683.735952                 222.168811                 148.420406               20983.360000                  22.791560                  22.875720                  49.016200                  11.595144                  42.743002                  42.802999                  52.718880                  52.733880                 101.490680                 673.839580                 685.453589                 257.543593                 263.991190                 516.742383                1043.266040                 274.522006                 362.076809                 742.403164                 379.757992                2381.620034                2423.660010                 118.987563                 213.813994                 438.876787                 147.974802                7061.783809                7173.432383                 894.865642                  89.358759                 357.451188                 311.497207                6613.040137                3375.812002                 412.654794
  76.0           23.635392                  22.828544                 136.417154                 109.414938                 116.797780                 696.780997                  67.912590                 135.820032                 143.928838                 839.864083                 287.871762                1679.725279                  76.389219                 890.748202                2597.716246                 152.767782                 432.540246                 923.507478                 451.398132                5369.856273                2653.400352                1138.594561                 759.130099                 785.536438                1205.890989                7038.419942                  27.715629                  57.954985                  29.086908                 170.560139                  60.965107                 357.089137                  77.608319                 155.248859                 625.469291                1252.035556                  55.933487                 113.768762                 664.140555                 209.311750                 144.594149                 220.633584                 754.279870                 757.721181                1717.376912                 226.521819                 151.328791               21404.009600                  22.983850                  23.069779                  49.571840                  11.728751                  43.274522                  43.335319                  53.384141                  53.399341                 102.788389                 682.973917                 694.744805                 260.983048                 267.516742                 523.646686                1057.198202                 278.189687                 369.288298                 757.191596                 387.323351                2429.188037                2472.068811                 120.554613                 216.640874                 444.680596                 149.931890                7202.830046                7316.711908                 914.228140                  90.543040                 362.188899                 315.713720                6747.148133                3444.280321                 420.803642
  77.0           24.084088                  23.281016                 139.121136                 111.632135                 119.041748                 710.166566                  68.805046                 137.605008                 145.820614                 850.901410                 291.655842                1701.804320                  77.393405                 902.456060                2631.859127                 154.776150                 441.072167                 941.725350                 460.301924                5475.783162                2705.738113                1153.563154                 769.111941                 795.865413                1221.748218                7130.958823                  28.076188                  58.709348                  29.465546                 172.779931                  61.759116                 361.738785                  79.114079                 158.262011                 637.654618                1276.427381                  56.658591                 115.304288                 673.106459                 212.626742                 146.884741                 224.129296                 769.169279                 772.678717                1751.230191                 230.901964                 154.255303               21827.462400                  23.177463                  23.265164                  50.130399                  11.862397                  43.806082                  43.867679                  54.049436                  54.064835                 104.086148                 692.121966                 704.049893                 264.423656                 271.043477                 530.553756                1071.135084                 281.858727                 376.545082                 772.072972                 394.936231                2477.056039                2520.783211                 122.121706                 219.467915                 450.484740                 151.889074                7344.766364                7460.895272                 933.753070                  91.727509                 366.927315                 319.931736                6882.300129                3513.282080                 429.003306
  78.0           24.535488                  23.736217                 141.841424                 113.862951                 121.299508                 723.634326                  69.697566                 139.390128                 147.712534                 861.939569                 295.440242                1723.885121                  78.397677                 914.164782                2666.004729                 156.784710                 449.657768                 960.057989                 469.261764                5582.376772                2758.405314                1168.534195                 779.095542                 806.196132                1237.608056                7223.512425                  28.436756                  59.463732                  29.844194                 174.999771                  62.553148                 366.388546                  80.629279                 161.293851                 649.915577                1300.970262                  57.383711                 116.839856                 682.072539                 215.957382                 149.186182                 227.641537                 784.153840                 787.731837                1785.295791                 235.309244                 157.199943               22253.718400                  23.372399                  23.461876                  50.691879                  11.996084                  44.337682                  44.400079                  54.714764                  54.730363                 105.383956                 701.283726                 713.368853                 267.865416                 274.571397                 537.463595                1085.076686                 285.529127                 383.847162                 787.047293                 402.596630                2525.224041                2569.803211                 123.688842                 222.295115                 456.289220                 153.846354                7487.592762                7605.982475                 953.440431                  92.912165                 371.666434                 324.151257                7018.496125                3582.817279                 437.253786
  79.0           24.989592                  24.194145                 144.578018                 116.107386                 123.571061                 737.184278                  70.590150                 141.175392                 149.604598                 872.978561                 299.224962                1745.967682                  79.402035                 925.874367                2700.153050                 158.793462                 458.297048                 978.505397                 478.277651                5689.637101                2811.401955                1183.507684                 789.080904                 816.528596                1253.470502                7316.080747                  28.797333                  60.218137                  30.222852                 177.219658                  63.347203                 371.038418                  82.153919                 164.344379                 662.252168                1325.664199                  58.108847                 118.375466                 691.038795                 219.303671                 151.498470                 231.170305                 799.233553                 802.880541                1819.573710                 239.743660                 160.162711               22682.777600                  23.568658                  23.659915                  51.256279                  12.129810                  44.869322                  44.932519                  55.380126                  55.395924                 106.681813                 710.459199                 722.701685                 271.308328                 278.100501                 544.376202                1099.023007                 289.200888                 391.194538                 802.114557                 410.304549                2573.692042                2619.128811                 125.256021                 225.122475                 462.094037                 155.803731                7631.309241                7751.973517                 973.290224                  94.097008                 376.406258                 328.372281                7155.736121                3652.885918                 445.555082
